artist_name,painting_name,artist_year_of_death,artist_gender,artist_origin,painting_style,painting_content,painting_medium,painting_turnover,painting_wikiart_link,painting_rarity,painting_image_link,artist_description,artist_wiki_link,artist_image_link,nft_collectible_link,nft_image_link,nft_ipfs_token_id,
David Alfaro Siqueiros,Peace,1974,Male,Mexican,Muralism,symbolic painting,,1306000,https://www.wikiart.org/en/david-alfaro-siqueiros/peace-1961,5,https://i.ibb.co/V3dPmJj/image.jpg,"David Alfaro Siqueiros  was a Mexican social realist painter, best known for his large public murals using the latest in equipment, materials and technique. Along with Diego Rivera and José Clemente Orozco, he was one of the most famous of the  ""Mexican muralists"".",https://en.wikipedia.org/wiki/David_Alfaro_Siqueiros,https://i.ibb.co/Z19KZdr/image.jpg,https://i.ibb.co/PjwPjJV/image.png,https://i.ibb.co/bd11R7r/image.gif,57,
John James Audubon,California Hare,1851,Male,French,Naturalism,animal painting,,293300,https://www.wikiart.org/en/john-james-audubon/california-hare-1847,6,https://i.ibb.co/wWfbwnd/image.jpg,"John James Audubon  was an American self-trained artist, naturalist, and  ornithologist. His combined interests in art and ornithology turned into a plan to make a complete pictorial record of all the bird species of North America.",https://en.wikipedia.org/wiki/John_James_Audubon,https://i.ibb.co/bNngCF0/image.jpg,https://i.ibb.co/wLCZ5q1/image.png,https://i.ibb.co/zQ1BjWy/image.gif,58,
Sonia Delaunay,Prose of the Trans-Siberian and of Little Jehanne of France,1979,Female,French,Orphism,illustration,,1204226,https://www.wikiart.org/en/sonia-delaunay/prose-of-the-trans-siberian-and-of-little-jehanne-of-france-1913,5,https://i.ibb.co/0cyP8QD/image.jpg,"Sonia Delaunay  was a French artist, who spent most of her working life in Paris. She formally trained in Russia and Germany before moving to France and expanding her practice to include textile, fashion, and set design.",https://en.wikipedia.org/wiki/Sonia_Delaunay,https://i.ibb.co/jgdNJpx/image.jpg,https://i.ibb.co/gDfPpwv/image.png,https://i.ibb.co/Msm810L/image.gif,59,
Pierre Bonnard,Picking Cherries,1947,Male,French,Post-Impressionism,genre painting,"oil, canvas",52079531,https://www.wikiart.org/en/pierre-bonnard/picking-cherries-1946,2,https://i.ibb.co/qg6Wg0J/image.jpg,"Pierre Bonnard  was a French painter, illustrator and printmaker, known especially for the stylized decorative qualities of his paintings and his bold use of color. A founding member of the Post-Impressionist group of avant-garde painters Les Nabis, his early work was strongly influenced by the work of Paul Gauguin, as well as the prints of Hokusai and other Japanese artists.",https://en.wikipedia.org/wiki/Pierre_Bonnard,https://i.ibb.co/vZ7Ym82/image.jpg,https://i.ibb.co/WzHPBqG/image.png,https://i.ibb.co/7YTV17m/image.gif,60,
Umberto Boccioni,States of Mind I The Farewells,1916,Male,Italian,Futurism,figurative,"oil, canvas",26422139,https://www.wikiart.org/en/umberto-boccioni/states-of-mind-i-the-farewells-1911,3,https://i.ibb.co/2nZTknV/image.jpg,Umberto Boccioni  was an influential Italian painter and sculptor. He helped shape the revolutionary aesthetic of the Futurism movement as one of its principal figures.,https://en.wikipedia.org/wiki/Umberto_Boccioni,https://i.ibb.co/BTsyr15/image.jpg,https://i.ibb.co/q5Z26ft/image.png,https://i.ibb.co/g4C53Lm/image.gif,61,
Georges Seurat,"The Channel at Gravelines, in the Direction of the Sea",1891,Male,French,Pointillism,landscape,"oil, canvas",1142544,https://www.wikiart.org/en/georges-seurat/the-channel-at-gravelines-in-the-direction-of-the-sea-1890,5,https://i.ibb.co/GCWMYpW/image.jpg,Georges Pierre Seurat  was a French post-Impressionist artist. He devised the painting techniques known as chromoluminarism and pointillism and used conté crayon for drawings on paper with a rough surface.,https://en.wikipedia.org/wiki/Georges_Seurat,https://i.ibb.co/XYbMp32/image.jpg,https://i.ibb.co/K95jWgL/image.png,https://i.ibb.co/Y3XZ4hS/image.gif,62,
Amedeo Modigliani,Jeanne Hebuterne in Red Shawl,1920,Male,Italian,Expressionism,portrait,"oil, canvas",475773204,https://www.wikiart.org/en/amedeo-modigliani/jeanne-hebuterne-in-red-shawl-1917-1,1,https://i.ibb.co/m59PRhm/image.jpg,"Amedeo Clemente Modigliani  was an Italian painter and sculptor who worked mainly in France. He is known for portraits and nudes in a modern style characterized by a surreal elongation of faces, necks, and figures that were not received well during his lifetime, but later became much sought-after.",https://en.wikipedia.org/wiki/Amedeo_Modigliani,https://i.ibb.co/ww8B1r7/image.jpg,https://i.ibb.co/2yf1p0V/image.png,https://i.ibb.co/br2Mz4P/image.gif,63,
Max Liebermann,Beer Garden in Munich,1935,Male,Jewish,Impressionism,genre painting,"oil, canvas",1964381,https://www.wikiart.org/en/max-liebermann/beer-garden-in-munchen,5,https://i.ibb.co/Hx78XRt/image.jpg,"Max Liebermann  was a German painter and printmaker, and one of the leading proponents of Impressionism in Germany and continental Europe. In addition to his activity as an artist, he also assembled an important collection of French Impressionist works.",https://en.wikipedia.org/wiki/Max_Liebermann,https://i.ibb.co/1L64yB2/image.jpg,https://i.ibb.co/6DwjyV9/image.png,https://i.ibb.co/8cbBG8Y/image.gif,64,
Gabriele Munter,Kandinsky and Erma Bossi at the Table in the Murnau House,1962,Female,German,Expressionism,genre painting,,3625946,https://www.wikiart.org/en/gabriele-munter/kandinsky-and-erma-bossi-at-the-table-in-the-murnau-house-1912,5,https://i.ibb.co/44M1Y10/image.jpg,Gabriele Münter  was a German expressionist painter who was at the forefront of the Munich avant-garde in the early 20th century. She studied and lived with the painter Wassily Kandinsky and was a founding member of the expressionist group Der Blaue Reiter.,https://en.wikipedia.org/wiki/Gabriele_M%C3%BCnter,https://i.ibb.co/7tt55bR/image.jpg,https://i.ibb.co/FVg3wnR/image.png,https://i.ibb.co/WgDRLfy/image.gif,65,
Andre Masson,Kitchen-maids,1987,Male,French,,,oil,2989128,https://www.wikiart.org/en/andre-masson/kitchen-maids,5,https://i.ibb.co/kctXBGn/image.jpg,André-Aimé-René Masson  was a French artist..,https://en.wikipedia.org/wiki/Andr%C3%A9_Masson,https://i.ibb.co/m5K2QhS/image.jpg,https://i.ibb.co/5xTnbjt/image.png,https://i.ibb.co/bstFZwr/image.gif,66,
Fairfield Porter,Anne,1975,Male,American,Contemporary Realism,portrait,,0,https://www.wikiart.org/en/fairfield-porter/anne-1965,6,https://i.ibb.co/yYZxdv8/image.jpg,"Fairfield Porter  was an American painter and art critic. He was the fourth of five children of James Porter, an architect, and Ruth Furness Porter, a poet from a literary family.",https://en.wikipedia.org/wiki/Fairfield_Porter,https://i.ibb.co/3fLRwn3/image.jpg,https://i.ibb.co/hfM1ZZP/image.png,https://i.ibb.co/9cTq7ph/image.gif,67,
Albrecht Durer,Hare,1528,Male,German,Northern Renaissance,animal painting,,2130329,https://www.wikiart.org/en/albrecht-durer/hare-1528,5,https://i.ibb.co/fdFvccc/image.jpg,"Albrecht Dürer , sometimes spelled in English as Durer  or Duerer, was a German painter, printmaker, and theorist of the German Renaissance. Born in Nuremberg, Dürer established his reputation and influence across Europe in his twenties due to his high-quality woodcut prints.",https://en.wikipedia.org/wiki/Albrecht_D%C3%BCrer,https://i.ibb.co/LdxMy3j/image.jpg,https://i.ibb.co/WBcPxHY/image.png,https://i.ibb.co/RphgHg2/image.gif,68,
Henry Darger,145 at Jennie Richee. Hard Pressed and Harassaed by the Storm,1973,Male,American,Art Brut,illustration,,1373000,https://www.wikiart.org/en/henry-darger/145-at-jennie-richee-hard-pressed-and-harassaed-by-the-storm,5,https://i.ibb.co/c6JmJSY/image.jpg,"Henry Joseph Darger Jr.  was an American writer, novelist and artist who worked as a hospital custodian in Chicago, Illinois.",https://en.wikipedia.org/wiki/Henry_Darger,https://i.ibb.co/NFFyyRt/image.jpg,https://i.ibb.co/6gTSFgK/image.png,https://i.ibb.co/xgjwfBr/image.gif,69,
Rembrandt van Rijn,The Nightwatch,1669,Male,Dutch,Baroque,genre painting,"oil, canvas",3967646,https://www.wikiart.org/en/rembrandt/the-nightwatch-1642,5,https://i.ibb.co/prScCNd/image.jpg,"Rembrandt Harmenszoon van Rijn , usually simply known as Rembrandt, was a Dutch Golden Age painter, printmaker and draughtsman. An innovative and prolific master in three media, he is generally considered one of the greatest visual artists in the history of art and the most important in Dutch art history.",https://en.wikipedia.org/wiki/Rembrandt,https://i.ibb.co/6NW19st/image.jpg,https://i.ibb.co/2PfQ83Z/image.png,https://i.ibb.co/XJSwtmq/image.gif,70,
Lin Fengmian,Harvest,1991,Male,Chinese,Expressionism,genre painting,,17049498,https://www.wikiart.org/en/lin-fengmian/harvest,4,https://i.ibb.co/Nyr4VD7/image.jpg,"Lin Fengmian , originally Lin Fengming , was a Chinese painter and is considered a pioneer of modern Chinese painting for blending Chinese and Western styles, he was one of the earliest Chinese painters to study in Europe. He was also an important innovator in the area of Chinese art education.",https://en.wikipedia.org/wiki/Lin_Fengmian,https://i.ibb.co/VNMSFqF/image.jpg,https://i.ibb.co/K6P4VTL/image.png,https://i.ibb.co/DMbkytq/image.gif,71,
Alphonse Mucha,Zodiac,1939,Male,Czech,Art Nouveau (Modern),allegorical painting,lithography,25221,https://www.wikiart.org/en/alphonse-mucha/zodiac-1896,6,https://i.ibb.co/RgYsDGP/image.jpg,"Alfons Maria Mucha , known internationally as Alphonse Mucha, was a Czech painter, illustrator and graphic artist, living in Paris during the Art Nouveau period, best known for his distinctly stylized and decorative theatrical posters, particularly those of Sarah Bernhardt. He produced illustrations, advertisements, decorative panels, as well as designs, which became among the best-known images of the period.",https://en.wikipedia.org/wiki/Alphonse_Mucha,https://i.ibb.co/gFGmwMN/image.jpg,https://i.ibb.co/JdDRJWm/image.png,https://i.ibb.co/3vMrC3C/image.gif,72,
Sidney Nolan,Desert Storm,1992,Male,Australian,Expressionism,landscape,"oil, board",39834,https://www.wikiart.org/en/sidney-nolan/desert-storm-1955,6,https://i.ibb.co/VLZ02XJ/image.jpg,"Sir Sidney Robert Nolan   was one of Australia's leading artists of the 20th century. Working in a wide variety of mediums, his oeuvre is among the most diverse and prolific in all of modern art.",https://en.wikipedia.org/wiki/Sidney_Nolan,https://i.ibb.co/s1DyKtN/image.jpg,https://i.ibb.co/qWDShzn/image.png,https://i.ibb.co/TcjQvky/image.gif,73,
Tintoretto,The Miracle of St Mark Freeing the Slave,1594,Male,Italian,Mannerism (Late Renaissance),religious painting,"oil, canvas",198730,https://www.wikiart.org/en/tintoretto/the-miracle-of-st-mark-freeing-the-slave-1548,6,https://i.ibb.co/QnLWvmx/image.jpg,"Tintoretto  was an Italian painter identified with the Venetian school. His contemporaries both admired and criticized the speed with which he painted, and the unprecedented boldness of his brushwork.",https://en.wikipedia.org/wiki/Tintoretto,https://i.ibb.co/5rwGX0F/image.jpg,https://i.ibb.co/sJZnfR6/image.png,https://i.ibb.co/2tGHkhG/image.gif,74,
Raphael,The School of Athens,1520,Male,Italian,High Renaissance,history painting,fresco,0,https://www.wikiart.org/en/raphael/school-of-athens-detail-from-right-hand-side-showing-diogenes-on-the-steps-and-euclid-1511,6,https://i.ibb.co/zNG11TL/image.jpg,"Raffaello Sanzio da Urbino, better known as Raphael , was an Italian painter and architect of the High Renaissance. His work is admired for its clarity of form, ease of composition, and visual achievement of the Neoplatonic ideal of human grandeur.",https://en.wikipedia.org/wiki/Raphael,https://i.ibb.co/XFBDC8B/image.jpg,https://i.ibb.co/wQ0FpRm/image.png,https://i.ibb.co/pPcRJ7F/image.gif,75,
David Alfaro Siqueiros,Peasant Mother,1974,Male,Mexican,Social Realism,genre painting,"oil, burlap",1306000,https://www.wikiart.org/en/david-alfaro-siqueiros/peasant-mother-1962-oil-on-canvas-1962,5,https://i.ibb.co/fYPhbb0/image.jpg,"David Alfaro Siqueiros  was a Mexican social realist painter, best known for his large public murals using the latest in equipment, materials and technique. Along with Diego Rivera and José Clemente Orozco, he was one of the most famous of the  ""Mexican muralists"".",https://en.wikipedia.org/wiki/David_Alfaro_Siqueiros,https://i.ibb.co/Z19KZdr/image.jpg,https://i.ibb.co/JpwXJLp/image.png,https://i.ibb.co/9b6yhWy/image.gif,76,
Leon Bakst,The sleeping beauty design for scene IV (the awakening),1924,Male,Russian,Art Nouveau (Modern),design,,0,https://www.wikiart.org/en/leon-bakst/the-sleeping-beauty-design-for-scene-iv-the-awakening-1921,6,https://i.ibb.co/Y3DfjjX/image.jpg,"Léon Bakst  – born as Leyb-Khaim Izrailevich  Rosenberg, Лейб-Хаим Израилевич  Розенберг  was a Russian painter and scene and costume designer of Jewish origin. He was a member of the Sergei Diaghilev circle and the Ballets Russes, for which he designed exotic, richly coloured sets and costumes.",https://en.wikipedia.org/wiki/L%C3%A9on_Bakst,https://i.ibb.co/F0mXnzk/image.jpg,https://i.ibb.co/YhKJvLJ/image.png,https://i.ibb.co/RNFXLdw/image.gif,77,
El Greco,Dormition of the Virgin,1614,Male,Spanish,Mannerism (Late Renaissance),religious painting,"panel, tempera",,https://www.wikiart.org/en/el-greco/dormition-of-the-virgin-1566,4,https://i.ibb.co/NrvpbNM/image.jpg,"Domḗnikos Theotokópoulos , most widely known as El Greco , was a Greek painter, sculptor and architect of the Spanish Renaissance. ""El Greco"" was a nickname, and the artist normally signed his paintings with his full birth name in Greek letters, Δομήνικος Θεοτοκόπουλος , often adding the word Κρής , which means Cretan.",https://en.wikipedia.org/wiki/El_Greco,https://i.ibb.co/Ycz6HDz/image.jpg,https://i.ibb.co/mJ4Jp2j/image.png,https://i.ibb.co/CnqdP2X/image.gif,78,
